,precision,recall,f1-score,support
0.0,0.9017651573292402,0.7891202149093351,0.8416905444126075,1489.0
2.0,0.031578947368421054,0.5172413793103449,0.05952380952380953,29.0
micro avg,0.6692913385826772,0.7839262187088274,0.7220873786407769,1518.0
macro avg,0.46667205234883063,0.65318079710984,0.4506071769682085,1518.0
weighted avg,0.8851410465987636,0.7839262187088274,0.8267479651558386,1518.0
