epoch,acc,loss,val_acc,val_loss
0,0.22405349,61.8633525889611,0.41386816,53.42269652637083
1,0.29285547,58.05372121342788,0.42506218,52.929087681556815
2,0.34603125,57.18174052481276,0.40702736,52.26089841928055
3,0.29464355,56.34551172761369,0.2204602,51.63471483828417
4,0.30272874,55.847275537103684,0.35696518,51.2765841697579
5,0.33390343,55.52881784949918,0.38961443,51.06692032315838
6,0.32986084,55.285447495597005,0.41013682,50.960357666015625
7,0.3492187,55.12769428838294,0.41511193,50.816750255983266
8,0.37191945,55.31827867530622,0.4135572,50.99906505755524
9,0.3796937,55.15031440756809,0.36753732,51.0300270194438
10,0.35287258,54.977052563597084,0.36691543,50.65135158709626
11,0.35722616,54.70720218449963,0.352301,50.51886407652898
12,0.3501516,54.57562129286041,0.40360695,50.512614919178525
13,0.37075332,54.66189166649332,0.39738807,50.63105392456055
14,0.34385446,54.68596058474593,0.3613184,50.616511786161965
15,0.33359247,54.52996425811049,0.3852612,50.63543035023248
16,0.36274585,54.421678018914704,0.3460821,50.49285592605818
17,0.3338257,54.19346175111861,0.3687811,50.33758573389765
18,0.34051153,54.25792495690765,0.3550995,50.390701863303114
19,0.36414522,54.30466906679443,0.40764925,50.471988279428054
20,0.34525383,54.33154277835619,0.37531096,50.69453703467526
21,0.33056054,54.339405805671845,0.38277364,50.63161992315036
22,0.36694396,54.00984264018793,0.3454602,50.480565426954584
23,0.33856797,53.90046730625734,0.34017414,50.452518292327426
24,0.36585554,53.595398235699165,0.40733832,50.50345104843823
25,0.33887896,53.49296408612259,0.42537314,50.39892504108486
26,0.3482858,53.703214871218904,0.38743782,50.70955734822287
27,0.37145302,53.75602293989479,0.3647388,50.845199869639835
28,0.37013137,53.39539069717171,0.41106966,50.66219893498207
29,0.33988962,53.02962852916348,0.4216418,50.76357986677939
30,0.38000467,52.991846432908645,0.4278607,51.04223621425344
31,0.3640675,53.492190539776644,0.3006841,50.802331525888015
32,0.36896524,52.88646229486911,0.4347015,51.271120896979944
33,0.3464977,52.930112861728794,0.4415423,51.38920371212176
34,0.41522196,52.44514164735192,0.41106966,51.426851642665575
35,0.37502915,52.294880793234206,0.35416666,51.54155127681903
36,0.35979164,51.40722621255498,0.43221393,51.96631696330967
37,0.34470963,51.2359232178541,0.43314677,52.86532177142243
38,0.4194978,51.714051771634736,0.4443408,52.573090112031394
39,0.37145302,51.293165044244056,0.4085821,52.50167021110876
40,0.34362125,50.63253332394737,0.43843284,52.777037435503146
41,0.41576615,50.37853922291954,0.4154229,52.828276506110804
42,0.36165747,49.51897847151057,0.43843284,54.45698450572455
43,0.40480447,48.47980014564071,0.41106966,55.27710000792546
44,0.38202596,47.78113295169508,0.43563432,54.574298232348994
45,0.3782166,47.30395763064769,0.43159205,55.003107213262304
46,0.3730856,47.037718463794796,0.46486318,54.743879916062994
47,0.3899557,48.167713138295916,0.46797264,54.421634275521804
48,0.38801214,47.387942846108864,0.32245025,54.566455898000235
49,0.36709943,46.472815545269,0.46455225,54.44506927034748
50,0.4255617,45.645844306581026,0.4113806,57.364890369016734
51,0.3870792,48.548104451157336,0.44340795,58.76155039089829
52,0.37852755,46.86608325027339,0.48600745,56.72177306217934
53,0.4336469,45.871375738958136,0.42226368,56.70638702164835
54,0.34439868,44.105466902705494,0.4636194,59.23431595759605
55,0.4066703,43.52731268111019,0.4266169,59.05897550440546
56,0.4035606,41.338804420115906,0.34856966,58.21155605031483
57,0.3501516,40.334512208934,0.45988807,62.769987988827836
58,0.42214102,39.97069797902885,0.45149255,64.65080050568082
59,0.35131773,40.5532995528125,0.46890548,65.82190277327352
60,0.48767784,40.84430506766366,0.4642413,61.00043026369009
61,0.4125787,39.11997669050633,0.44402984,59.89475563390931
62,0.38505793,37.15689229887362,0.46548507,62.37327177133133
63,0.44289824,35.62002433047902,0.46548507,64.44130143122887
64,0.38583535,33.63268876122083,0.44216418,66.77674290671277
65,0.43294722,32.8295097271002,0.4636194,65.33766994191639
66,0.40200576,31.556928485323795,0.45895523,62.4048260361401
67,0.4345798,31.059794595821142,0.4396766,65.72394362492348
68,0.4219078,31.779155213104605,0.49191543,72.2704057266463
69,0.41926455,35.98490677111202,0.47232586,68.87256810202527
70,0.4743839,37.12154922123544,0.4443408,68.38251130972336
71,0.42439556,35.09568239965456,0.48445272,66.32167503015319
72,0.4229962,31.410589575350475,0.4415423,65.33277232611357
73,0.4479515,28.668215863378276,0.48538557,69.42819851547924
74,0.4382337,26.949166792061654,0.46050996,67.66805893627566
75,0.44624117,25.822913953455945,0.48942786,68.49327457484914
76,0.44561923,25.596330043345212,0.49347016,66.61161792812062
77,0.42952654,26.106731208979802,0.43843284,68.21048508829145
78,0.44468632,26.195681901071875,0.4972015,71.18312642111707
79,0.50625825,24.986126300438393,0.49004975,71.69812171138935
80,0.44297597,23.313704924163428,0.46672887,73.10945157862422
81,0.4905543,22.16829583471192,0.48320895,69.79205020505991
82,0.46241158,22.723910103891107,0.5233209,69.03481076368645
83,0.48332426,21.830803476354525,0.4965796,68.97884163927677
84,0.48037004,22.28351813749847,0.4751244,78.4625166707964
85,0.4910985,22.393395922783235,0.482898,71.84086785387638
86,0.44149888,20.62041738931697,0.5,69.72984063447412
87,0.4931198,23.383983487503844,0.49564677,72.54578245931597
88,0.4990282,20.836553376690183,0.50031096,74.39132411444365
89,0.46995258,20.432088611563934,0.4863184,70.62863386922808
90,0.46326673,20.431069802989544,0.51337063,72.56451370467
91,0.50586957,17.95887318664304,0.5102612,71.75921647940109
92,0.48425716,16.86756821571367,0.5034204,76.05094351697323
93,0.5142657,15.712412471247806,0.48787314,73.42944472583372
94,0.45945737,14.056554064172001,0.5245647,75.69059280850995
95,0.5426417,13.839737483856977,0.505597,73.016104740883
96,0.5117002,14.996038388401503,0.517102,77.945361692514
97,0.5096789,15.012399168562428,0.50932837,74.51731246265012
98,0.5385991,13.785908309128684,0.5152363,73.6320031578861
99,0.5127886,13.3076663328294,0.5419776,75.13840120230148
100,0.5508824,12.26025854924933,0.50870645,76.7946385625583
101,0.5136438,11.819130693708656,0.5261194,75.50251553663567
102,0.5333126,11.40141731178576,0.5317164,70.69129163827469
103,0.5249164,10.62634628986595,0.53327113,76.33927951641937
104,0.5540698,10.22401757193216,0.5254975,75.30880054075327
105,0.55686855,9.868880989743754,0.5469527,75.0110177566756
106,0.5200964,9.633232415116316,0.54228854,74.28666544672268
107,0.5762264,9.19683964226708,0.528296,75.24392090982465
108,0.5401539,8.816237382622628,0.54291046,76.26697699703388
109,0.56643087,8.993540624025254,0.52643037,76.3531477059891
110,0.5569463,8.55985376344242,0.53855723,76.74096634138876
111,0.54023165,9.254754519987133,0.55472636,71.00453140486532
112,0.5758377,9.469048868837842,0.53047264,78.2685852620139
113,0.58703256,10.370349950537586,0.53109455,74.42284552730732
114,0.503615,9.488276400963125,0.5413557,74.79296943322936
115,0.5742828,10.005256047323352,0.5416667,73.39949770116094
116,0.5663531,9.032788021627688,0.53606963,76.33528342175839
117,0.53891003,9.215329376116312,0.5379353,76.01593524306568
118,0.55484724,8.20130900570053,0.54570895,74.69968027143337
119,0.5752935,8.223855258313232,0.5363806,76.95546859057981
120,0.5633989,8.569124260874009,0.5289179,78.3696086371123
121,0.5544585,7.812848316736228,0.5562811,74.35460264291336
122,0.5768483,8.373988458641875,0.5329602,76.91155516211666
123,0.5815906,7.389931357816043,0.53855723,73.95556589382798
124,0.56549793,6.910758638385665,0.5435323,77.03248971967555
125,0.5767706,6.3484455942875915,0.54757464,75.79111224501881
126,0.58827645,6.170944118299575,0.5441542,76.18653061140829
127,0.5723393,6.051682240093865,0.545398,75.58198348088051
128,0.5590453,6.199178512847267,0.5488184,76.16540407778612
129,0.5983052,7.206321107389433,0.5388682,76.11776636607611
130,0.5691518,6.9172200332910885,0.5441542,74.22333720192981
131,0.5652647,6.811890714509412,0.5494403,74.85822939516893
132,0.5822903,6.3289600398412045,0.5419776,75.80650750914616
133,0.58586645,6.185339702655727,0.5478856,75.26383585004665
134,0.5868771,5.601796657257092,0.5506841,74.56514563489316
135,0.5840784,5.634064324728986,0.5410448,77.12427144975804
136,0.5920081,5.570575020745689,0.5494403,74.96084850937572
137,0.58516675,5.42544229696209,0.5494403,73.59808668449743
138,0.5859442,5.4302881144165,0.54384327,75.91333030586812
139,0.58718807,5.592323728494823,0.5363806,75.0554753773248
140,0.57506025,5.6047698613839785,0.5525498,76.141848549914
141,0.5906087,5.415237992897677,0.54664177,73.9336755097802
142,0.60475785,5.486823880690063,0.55379355,76.12981801958226
143,0.59286326,5.1331143280974745,0.5413557,77.72631744840253
144,0.5709399,5.093982073008287,0.5478856,75.61805907292153
145,0.6105885,5.032891745627746,0.54384327,76.22488033237742
146,0.6024256,4.879391058119832,0.53731346,77.12141418457031
147,0.5969058,4.816063835175479,0.55099505,77.01415098958941
148,0.5842338,5.119582279560902,0.5370025,77.91268681768162
149,0.610744,4.8699936124239205,0.545398,77.39544768831622
150,0.6081008,4.947478630230807,0.55379355,75.12529230829495
151,0.61742985,5.392616292361402,0.5416667,77.92408433601038
152,0.59651715,5.098938761348349,0.54291046,76.15102580056262
153,0.59892714,4.968320880291724,0.55379355,79.45275673937442
154,0.61432016,5.19666377621176,0.5419776,78.74805433358719
155,0.59325194,5.061006873204272,0.5544154,76.82187903105323
156,0.6024256,4.885340764753686,0.53855723,77.29685917185314
157,0.61121047,4.785197444534094,0.55659205,74.95744232633221
158,0.60957783,4.4098899055118554,0.55472636,76.2072582529552
159,0.6006375,4.420048852253412,0.54912937,76.13222099418071
160,0.6063127,4.465163236678986,0.5481965,76.95218658447266
161,0.5964394,4.746712977117173,0.5317164,78.43661675524356
162,0.60592395,4.321561516494354,0.5550373,75.87173205703053
163,0.6106663,4.461498964465833,0.53762436,77.93485185993252
164,0.60607946,4.326084195460056,0.5460199,77.32116505637097
165,0.61362046,4.389884628219385,0.5351368,77.11188211014021
166,0.582368,4.429018391037788,0.54570895,75.30964102673886
167,0.618285,4.365391643850093,0.5541045,77.23280027019443
168,0.6311125,4.387846498979451,0.5425995,77.65877123021367
169,0.592941,4.27607136807712,0.5534826,74.63029081430008
170,0.61781853,4.432003362140064,0.5379353,77.29746212176423
171,0.6095001,4.138323529645387,0.545398,76.36542294630364
172,0.6171966,4.1904127152407415,0.54477614,77.21164566723269
173,0.6280028,4.599603531733741,0.53482586,76.27811739337979
174,0.58330095,4.214689180360355,0.5469527,76.81643631209188
175,0.62613696,4.139973403561739,0.5382463,75.88973122212424
176,0.6081008,4.039156241892545,0.5500622,74.31030393002638
177,0.6202286,3.952724831124482,0.54912937,76.59803612552471
178,0.6156418,4.117127511416606,0.5416667,77.76507966909836
179,0.6170411,4.461159759571307,0.54757464,76.20540322830428
180,0.6176631,4.481603353156797,0.5435323,75.18405811822237
181,0.62497085,4.193465890404708,0.54850745,75.4548551644852
182,0.6270699,3.889774788411142,0.54384327,76.9993484838685
183,0.6176631,3.705677576887286,0.5441542,76.36190647865409
184,0.62372696,3.9171538993914337,0.54477614,75.46457455763176
185,0.61805177,4.217059514296979,0.54477614,74.3297773902096
186,0.6304128,4.034776613184613,0.54011196,76.19933945385378
187,0.6074011,3.8734158360456723,0.54228854,75.56889388810343
188,0.62481534,4.2071747088111655,0.5407338,77.30763159225236
189,0.603203,4.329274314044655,0.54664177,77.8689350868339
190,0.6228718,3.980123042430105,0.5391791,76.92601053038639
191,0.61805177,3.6443436096293422,0.5441542,78.10620954143467
192,0.6259815,3.5731376165514424,0.54228854,76.67319198152911
193,0.62116146,3.7123003926069935,0.5435323,77.14736557006836
194,0.63562155,3.7153958898768367,0.5410448,77.03684519298041
195,0.61914015,3.4916860236727154,0.5416667,77.12293556554994
196,0.6147866,3.7226470426277563,0.5435323,77.26553219467846
197,0.628547,3.640424079957298,0.5351368,77.4551638702848
198,0.62294954,3.694046806290075,0.539801,77.66463584330545
199,0.62349373,3.635361920487016,0.5419776,76.23523495802239
200,0.6241157,4.104934635442606,0.539801,76.47123649938783
201,0.6213947,4.179534819507399,0.54384327,74.68332751829233
202,0.6280028,4.271239088564557,0.539801,78.3922102059891
203,0.62310505,4.2372864124740275,0.5435323,75.48019682471431
204,0.6111327,4.214178322874572,0.53669155,77.6224434126669
205,0.62629247,3.9043146411599485,0.5345149,75.26599314675403
206,0.63429993,3.618206297267904,0.5416667,76.11722507761486
207,0.6169634,3.789461235657901,0.5382463,76.68009367985512
208,0.63686544,3.76507918675098,0.5413557,77.68175461043172
209,0.62481534,3.739895542997099,0.55130595,76.853896980855
210,0.620695,3.57650338206795,0.54633087,76.05032730102539
211,0.6401306,3.6280805795288917,0.5444652,76.65549315267535
212,0.6178963,3.5596858433632477,0.5335821,75.78574758501195
213,0.6183627,3.433150560870879,0.54570895,76.98391017629139
214,0.6254373,3.5837241362739496,0.54850745,76.05353005252667
215,0.64331806,3.422055708345373,0.54570895,74.89566410121633
216,0.6101221,3.6334137674865628,0.5444652,75.03478673678725
217,0.6335225,3.6228670014440203,0.51492536,76.05239190628279
218,0.62349373,4.021095808507087,0.55037314,76.76513876843808
219,0.6300241,4.1451134743238605,0.5460199,75.07739326135436
220,0.6201508,5.039721276613117,0.534204,76.39031879937471
221,0.5924745,4.841015780740362,0.5472637,76.21129938381821
222,0.63950866,4.541849314995023,0.5544154,76.85870896524457
223,0.6243489,4.903060854255139,0.55472636,73.5256879436436
224,0.6303351,5.007949324165006,0.5516169,76.88363089490292
225,0.6115214,4.7333002816293455,0.5500622,74.67067877926044
226,0.63383347,4.398143887603245,0.5460199,77.42971289335792
227,0.61416465,4.1301532521974815,0.5544154,73.10905251574161
228,0.63943094,3.957104275925927,0.54291046,75.73149689631676
229,0.61470884,3.489073476069991,0.53669155,75.74854631566289
230,0.6401306,3.3716792543540706,0.5416667,76.64685218013935
231,0.6271476,3.272882517487156,0.5460199,74.23988763609928
232,0.6429293,3.1015255726821165,0.53855723,75.5413949881027
233,0.6280028,2.9503837174486245,0.54757464,76.67771792055956
234,0.65008163,2.9752846961906294,0.5388682,76.02475892251996
235,0.63049054,3.0062097659760125,0.54011196,75.54937117847044
236,0.6370209,2.906879678573614,0.5391791,76.1476155750787
237,0.6329006,2.8094107860226214,0.5435323,76.45412712666526
238,0.64059705,2.8478324334895566,0.5460199,75.03740874333168
239,0.633678,2.781120610090693,0.5435323,75.80221489294252
240,0.63888675,2.8416861740082053,0.54228854,76.07517447400448
241,0.6386535,2.8112177625281123,0.545398,75.88546217733355
242,0.6409858,2.6910113246279814,0.5441542,75.12075879680576
243,0.6356993,2.684866989881303,0.545398,75.53696919910944
244,0.6416077,2.7083660040618676,0.53949004,74.2084077294193
245,0.6340667,2.721918852233056,0.5460199,74.55803435596067
246,0.6430071,2.871339225680074,0.53762436,75.49929598907926
247,0.6417632,2.8439454105216755,0.539801,75.54804417624402
248,0.6398196,2.7560051245794304,0.5407338,75.92445453245249
249,0.64137447,2.7079016838512646,0.54664177,75.91891479492188
250,0.641219,2.6966726583279024,0.5460199,75.72066833723837
251,0.6441732,2.621112046415621,0.5416667,77.21612753796933
252,0.6401306,2.7702084878068742,0.54850745,76.99198207570545
253,0.6459613,2.8129684589406447,0.5435323,76.67724176663071
254,0.63709867,2.673939083112414,0.54757464,75.91301175017855
255,0.6447174,2.69365187457901,0.53762436,75.70294246388904
256,0.638498,2.5807838674597336,0.54384327,75.84120861452017
257,0.6510923,2.6206080136732486,0.5478856,78.0209334643919
258,0.6433958,2.6631696881286318,0.5460199,77.06195045585063
259,0.6434735,2.534435992606791,0.5388682,76.12139522495555
260,0.6434735,2.566592146688048,0.5472637,75.73697867322323
261,0.6440955,2.687264357367172,0.545398,76.86722075049556
262,0.64254063,3.4028641156847033,0.54570895,77.14004419810736
263,0.6397419,3.1096370989210746,0.54508704,74.78322521608267
264,0.65070355,2.9871623686050763,0.54042286,75.53897783649502
265,0.638498,3.1501614027832194,0.54042286,74.88246120623688
266,0.64697194,3.5453310204100887,0.5301617,72.53646674085019
267,0.6366322,3.3359934469037817,0.54011196,75.76566155277081
268,0.63943094,3.6348949006581894,0.5351368,74.26760824402767
269,0.6381093,3.296388356596484,0.5354478,73.09094158571158
270,0.63429993,3.3546609431099745,0.53762436,73.12886844464202
271,0.64075255,3.86142909177436,0.5335821,72.96214055303318
272,0.6316567,3.9982141491637058,0.5441542,77.08076721874636
273,0.6356993,6.85969167488559,0.5323383,76.33673363301291
274,0.60094845,11.797444039885793,0.53762436,77.09006152935882
275,0.6084117,14.270090570162903,0.56560946,79.73537262873863
276,0.602581,14.81625814778173,0.55845773,74.54480640923799
277,0.5975278,14.803132859023707,0.5301617,77.40609428064147
278,0.6007152,14.163892696667986,0.54477614,83.74923239181291
279,0.608023,10.788259367952818,0.5410448,79.6088049589698
280,0.6100443,9.108181314780516,0.56623137,79.68584299799221
281,0.6006375,7.401191842914656,0.5478856,76.52872461347438
282,0.61805177,6.754920391701692,0.55752486,78.45386641772825
283,0.6049133,5.991896255737532,0.54664177,74.88207279034515
284,0.61618596,5.410739078720426,0.5407338,79.75415300967089
285,0.6328228,4.107487170996344,0.55192786,77.23796605352146
286,0.6238825,3.787715363259691,0.5572139,75.83137899370335
287,0.6311125,3.693586197535543,0.53949004,77.9774701702061
288,0.6322786,3.33721543896822,0.5416667,76.93621370685635
289,0.63383347,3.732599820633249,0.53949004,75.73277311182734
290,0.63188994,3.610295069140761,0.54477614,76.70025890976635
291,0.6416854,3.545238726081424,0.54633087,75.63976418794091
292,0.63709867,3.2396647538125287,0.5435323,75.88885099496414
293,0.63764286,2.853727479452925,0.54477614,76.95510067156891
294,0.6402861,2.845801820727573,0.54508704,76.81071887799163
295,0.6377983,2.8047740445911424,0.53669155,77.57568940119957
296,0.64246285,2.81715479776035,0.53949004,77.20205819428857
297,0.63950866,2.7081240553382506,0.5444652,77.12573834319613
298,0.640908,2.6873437193738794,0.54011196,76.25044808458927
299,0.64394,2.697562971243376,0.53575873,76.00105427983982
300,0.63624346,2.6932266218744,0.5435323,75.5891573322353
301,0.6531913,2.6694571583951086,0.5413557,75.98388324566741
302,0.64681643,2.6123472435203965,0.545398,76.20706837212862
303,0.6461168,2.5663175237389177,0.5444652,76.1286778236503
304,0.64844906,2.510603188930862,0.54042286,76.38816981529122
305,0.64572805,2.440989265005946,0.5379353,76.2201342226854
306,0.64370674,2.444695802718403,0.5460199,77.00747065757638
307,0.6478271,2.4110564030246397,0.5351368,76.53593518840732
308,0.6397419,2.4362661910448162,0.53855723,75.9112531747391
309,0.6498484,2.469047072737619,0.5329602,76.14067487574336
310,0.63997513,2.4744354305283647,0.53731346,75.63338157312194
311,0.64277387,2.4262272970010823,0.539801,75.96569790057282
312,0.6416077,2.3668503561481797,0.5370025,75.4142720236707
313,0.6528026,2.3662909800830416,0.5289179,75.16226845356955
314,0.63873124,2.39559397278182,0.5444652,76.08315948941815
315,0.6562233,2.4976112443496454,0.5363806,76.32899930583896
316,0.6486045,2.494594115969238,0.53731346,76.0013387879329
317,0.6523362,2.426680181127105,0.54011196,76.4354431380087
318,0.64627224,2.4702282500917616,0.5370025,76.14198479723575
319,0.651481,2.4642695524658618,0.54042286,75.66302353588503
320,0.6474384,2.441424743074341,0.5413557,75.008248741947
321,0.64759386,2.319358873671287,0.53731346,75.8154374307661
322,0.6430848,2.5524368520974092,0.5425995,76.23429944621982
323,0.6497707,3.0465811138009244,0.5279851,76.41360171873178
324,0.646039,2.802870551581369,0.5435323,75.5845898300854
325,0.6498484,2.6019353780944416,0.545398,75.47123336791992
326,0.64394,2.4113298546959303,0.545398,75.25758367509984
327,0.64767164,2.35680519569757,0.54664177,75.95306060563273
328,0.6447951,2.310760319441462,0.54477614,74.83658514449846
