,precision,recall,f1-score,support
0.0,0.8846787479406919,0.7232323232323232,0.7958503149314561,1485.0
3.0,0.01607142857142857,0.47368421052631576,0.0310880829015544,19.0
micro avg,0.6104847801578354,0.7200797872340425,0.6607687614399024,1504.0
macro avg,0.4503750882560602,0.5984582668793195,0.41346919891650524,1504.0
weighted avg,0.8737056501561068,0.7200797872340425,0.7861890899257592,1504.0
