,precision,recall,f1-score,support
0.0,0.8928276999175597,0.7018794556059624,0.7859216255442671,1543.0
3.0,0.019966722129783693,0.5,0.038400000000000004,24.0
micro avg,0.603638368246968,0.6987874920229739,0.64773735581189,1567.0
macro avg,0.4563972110236717,0.6009397278029812,0.41216081277213357,1567.0
weighted avg,0.8794590569903699,0.6987874920229739,0.7744726663783051,1567.0
