,precision,recall,f1-score,support
0.0,0.7815533980582524,0.8789808917197452,0.827408993576017,1099.0
3.0,0.04155124653739612,0.5172413793103449,0.07692307692307691,29.0
micro avg,0.6142767689417659,0.8696808510638298,0.7200000000000001,1128.0
macro avg,0.4115523222978243,0.6981111355150451,0.45216603524954696,1128.0
weighted avg,0.7625285200492942,0.8696808510638298,0.8081145861443368,1128.0
