,precision,recall,f1-score,support
0.0,0.8880666049953746,0.642570281124498,0.7456310679611652,1494.0
2.0,0.027065527065527065,0.6551724137931034,0.05198358413132694,29.0
micro avg,0.5490745933819405,0.6428102429415627,0.5922565033272837,1523.0
macro avg,0.45756606603045086,0.6488713474588007,0.3988073260462461,1523.0
weighted avg,0.8716719685804267,0.6428102429415627,0.7324230725369594,1523.0
