,precision,recall,f1-score,support
0.0,0.8161024702653248,0.8328664799253035,0.8243992606284658,1071.0
3.0,0.030162412993039442,0.5416666666666666,0.05714285714285715,24.0
micro avg,0.5938320209973753,0.8264840182648402,0.6911034746086293,1095.0
macro avg,0.4231324416291821,0.6872665732959851,0.4407710588856615,1095.0
weighted avg,0.798876386818261,0.8264840182648402,0.8075826819219319,1095.0
