,precision,recall,f1-score,support
0.0,0.7895734597156399,0.7785046728971963,0.784,1070.0
3.0,0.029850746268656716,0.5833333333333334,0.056795131845841784,24.0
micro avg,0.5557742782152231,0.7742230347349177,0.6470588235294117,1094.0
macro avg,0.4097121029921483,0.6809190031152648,0.4203975659229209,1094.0
weighted avg,0.7729067822725616,0.7742230347349177,0.7680466939344609,1094.0
