,precision,recall,f1-score,support
0.0,0.8895348837209303,0.6968119713728042,0.7814666180226196,1537.0
3.0,0.026016260162601626,0.6153846153846154,0.0499219968798752,26.0
micro avg,0.5975810885101704,0.6954574536148432,0.6428149024246008,1563.0
macro avg,0.45777557194176594,0.6560982933787098,0.4156943074512474,1563.0
weighted avg,0.8751705304179767,0.6954574536148432,0.7692976096094966,1563.0
