,precision,recall,f1-score,support
0.0,0.7673758865248227,0.7071895424836602,0.7360544217687076,765.0
3.0,0.030800821355236138,0.5555555555555556,0.058365758754863814,27.0
micro avg,0.4664429530201342,0.702020202020202,0.5604838709677419,792.0
macro avg,0.3990883539400294,0.6313725490196078,0.3972100902617857,792.0
weighted avg,0.7422653729394959,0.702020202020202,0.7129513991659628,792.0
