,precision,recall,f1-score,support
0.0,0.8945281522601111,0.734375,0.8065784769395782,1536.0
3.0,0.02527075812274368,0.56,0.048359240069084625,25.0
micro avg,0.6292011019283746,0.7315823190262652,0.6765402843601896,1561.0
macro avg,0.4598994551914274,0.6471875,0.4274688585043314,1561.0
weighted avg,0.8806066693303006,0.7315823190262652,0.7944353117110309,1561.0
