,precision,recall,f1-score,support
0.0,0.8846153846153846,0.6733897202342225,0.7646841521980051,1537.0
2.0,0.024615384615384615,0.47058823529411764,0.046783625730994156,34.0
micro avg,0.5774725274725274,0.6690006365372374,0.6198761427307579,1571.0
macro avg,0.4546153846153846,0.57198897776417,0.40573388896449963,1571.0
weighted avg,0.8660030357929785,0.6690006365372374,0.7491471579905714,1571.0
