,precision,recall,f1-score,support
0.0,0.9038047379755922,0.8427041499330656,0.8721856598545203,1494.0
2.0,0.046153846153846156,0.6206896551724138,0.08591885441527447,29.0
micro avg,0.7162086371284352,0.8384766907419566,0.7725347852389594,1523.0
macro avg,0.4749792920647192,0.7316969025527398,0.4790522571348974,1523.0
weighted avg,0.8874738936795775,0.8384766907419566,0.8572140660542983,1523.0
